CATEGORY	NAME	EN_US	EN_GB	RU_RU	IT_IT	JA_JP	CS_CZ	TOK
item	clubs_three_playing_card	Clubs Three 		Трефовые тройки			Křížová trojka	lipu musi pi utala tu wan
item	clubs_four_playing_card	Clubs Four 		Трефовые четверки			Křížová čtyřka	lipu musi pi utala tu tu
item	clubs_five_playing_card	Clubs Five 		Трефовые пятерки			Křížová pětka	lipu musi pi utala luka
item	clubs_six_playing_card	Clubs Six 		Трефовая шестерка			Křížová šestka	lipu musi pi utala luka wan
item	clubs_seven_playing_card	Clubs Seven 		Трефовая семерка			Křížová sedmička	lipu musi pi utala luka tu
item	clubs_eight_playing_card	Clubs Eight 		Трефовые восьмерка			Křížová osmička	lipu musi pi utala luka tu wan
item	clubs_nine_playing_card	Clubs Nine 		Трефовая девятка			Křížová devítka	lipu musi pi utala luka tu tu
item	clubs_ten_playing_card	Clubs Ten 		Трефовые десятка			Křížová desítka	lipu musi pi utala luka luka
item	clubs_jack_playing_card	Clubs Jack 		Трефовый валет			Křížový spodek	lipu musi pi utala jan
item	clubs_queen_playing_card	Clubs Queen 		Трефовая дама			Křížová královna	lipu musi pi utala meli
item	clubs_king_playing_card	Clubs King 		Трефовый король			Křížový král	lipu musi pi utala mije
item	clubs_ace_playing_card	Clubs Ace 		Трефовый туз			Křížové eso	lipu musi pi utala wawa
item	hearts_two_playing_card	Hearts Two 		Червовая двойка			Srdcová dvojka	lipu musi pi utala tu
item	hearts_three_playing_card	Hearts Three 		Червовая тройка			Srdcová trojka	lipu musi pi utala tu wan
item	hearts_four_playing_card	Hearts Four 		Червовая четверка			Srdcová čtyřka	lipu musi pi utala tu tu
item	hearts_five_playing_card	Hearts Five 		Червовая пятерка			Srdcová pětka	lipu musi pi utala luka
item	hearts_six_playing_card	Hearts Six 		Червовая шестерка			Srdcová šestka	lipu musi pi utala luka wan
item	hearts_seven_playing_card	Hearts Seven 		Червовая семерка			Srdcová sedmička	lipu musi pi utala luka tu
item	hearts_eight_playing_card	Hearts Eight 		Червовая восьмерка			Srdcová osmička	lipu musi pi utala luka tu wan
item	hearts_nine_playing_card	Hearts Nine 		Червовая девятка			Srdcová devítka	lipu musi pi utala luka tu tu
item	hearts_ten_playing_card	Hearts Ten 		Червовая десятка			Srdcová desítka	lipu musi pi utala luka luka
item	hearts_jack_playing_card	Hearts Jack 		Червовый валет			Srdcový spodek	lipu musi pi utala jan
item	hearts_queen_playing_card	Hearts Queen 		Червовая дама			Srdcová královna	lipu musi pi utala meli
item	hearts_king_playing_card	Hearts King 		Червовый король			Srdcový král	lipu musi pi utala mije
item	hearts_ace_playing_card	Hearts Ace 		Червовый туз			Srdcové eso	lipu musi pi utala wawa
item	diamonds_two_playing_card	Diamonds Two 		Бубновая двойка			Kárová dvojka	lipu musi pi utala tu
item	diamonds_three_playing_card	Diamonds Three 		Бубновая тройка			Kárová trojka	lipu musi pi utala tu wan
item	diamonds_four_playing_card	Diamonds Four 		Бубновая четверка			Kárová čtyřka	lipu musi pi utala tu tu
item	diamonds_five_playing_card	Diamonds Five 		Бубновая пятерка			Kárová pětka	lipu musi pi utala luka
item	diamonds_six_playing_card	Diamonds Six 		Бубновая шестерка			Kárová šestka	lipu musi pi utala luka wan
item	diamonds_seven_playing_card	Diamonds Seven 		Бубновая семерка			Kárová sedmička	lipu musi pi utala luka tu
item	diamonds_eight_playing_card	Diamonds Eight 		Бубновая восьмерка			Kárová osmička	lipu musi pi utala luka tu wan
item	diamonds_nine_playing_card	Diamonds Nine 		Бубновая девятка			Kárová devítka	lipu musi pi utala luka tu tu
item	diamonds_ten_playing_card	Diamonds Ten 		Бубновая десятка			Kárová desítka	lipu musi pi utala luka luka
item	diamonds_jack_playing_card	Diamonds Jack 		Бубновый валет			Kárový spodek	lipu musi pi utala jan
item	diamonds_queen_playing_card	Diamonds Queen 		Бубновая дама			Kárová královna	lipu musi pi utala meli
item	diamonds_king_playing_card	Diamonds King 		Бубновый король			Kárový král	lipu musi pi utala mije
item	diamonds_ace_playing_card	Diamonds Ace 		Бубновый туз			Kárové eso	lipu musi pi utala wawa
ui	expand_variants	%s Click to Expand Variants		%s Нажмите, чтобы просмотреть варианты	%s Premi per espandere le varianti		%s Kliknutím zobrazte varianty	%s nena pona pi ilo tawa la o lukin e lukin ante
ui	craft	%s Click to Craft		%s Нажмите, чтобы скрафтить	%s Premi per fabbricare		%s Kliknutím vytvořte	%s nena pona pi ilo tawa la o pali
ui	craft_maximum	%s Hold Shift to Craft Maximum		%s Удерживайте Shift, чтобы скрафтить максимум	%s Mantieni Shift per fabbricare il massimo		%s Podržením klávesy Shift vytvoříte maximální počet	%s nena Shift la o pali e ale ken
ui	jump_to_list_end_or_begin	%s Shift+Click an arrow to jump to the end		%s Shift+Нажмите на стрелку, чтобы перейти к концу	%s Fai Shift+Clic su una freccia per saltare alla fine		%s Kliknutím na šipku při držení klávesy Shift skočíte na konec	%s nena Shift en nena pona pi ilo tawa la o tawa lipu pini
ui	craft_documentation	%s Press %s to View Documentation		%s Нажмите %s чтобы просмотреть документацию	%s Premi %s per vedere la documentazione		%s Stisknutím klávesy %s zobrazíte dokumentaci	nena %s la o lukin e lipu sona
ui	crafting_materials	%s Crafting materials		%s Материалы для крафта	%s Materiali per fabbricare		%s Materiály pro výrobu	%s ijo wile
ui	crafting_not_enough_items	Not enough items to craft %s		Недостаточно предметов чтобы скрафтить %s	Non hai abbastanza oggetti per fabbricare %s		Nedostatek věcí pro výrobu %s	%s la sina wile e ijo 
ui	navigation	Navigation		Навигация	Navigazione		Navigace	nasin
ui	item_required	You need %s to unlock this block		Вам нужно %s, чтобы разблокировать этот блок			Pro odemčení tohoto bloku potřebujete %s	open pi leko ni la sina wile e %s
ui	camera.disabled	All cameras are currently disabled		Все камеры в настоящее время отключены			Všechny kamery jsou momentálně vypnuty	ilo lukin ale li pini
ui	camera.offline	This monitor has not been linked yet		Этот монитор еще не был подключен			Tento monitor ještě nebyl propojen	ilo sitelen li kulupu ala
ui	camera.registered	The camera was linked successfully		Камера была успешно подключена			Kamera byla úspěšně propojena	ilo lukin li kama kulupu
ui	camera.not_found	The camera you are trying to view has been broken		Камера, которую вы пытаетесь просмотреть, была сломана			Kamera, kterou se snažíte zobrazit, byla rozbita	sina wile lukin e ilo. taso ona li pakala.
ui	menu.title	Menu		Меню			Nabídka	lipu
ui	menu.debug	Debug Information		Информация для отладки			Ladící informace	sona pali
ui	menu.settings	Settings		Настройки			Nastavení	ante nasin
ui	menu.open_settings	Open Settings		Открыть Настройки			Otevřít nastavení	o open e ante nasin
ui	menu.show_debug	Show Debug Information		Показать информацию для отладки			Ukázat ladící informace	o pana e sona pali
ui	menu.copy	Copy		Скопировать			Kopírovat	o jo
ui	menu.click_to_show	Cick to show		Нажмите, чтобы показать			Kliknutím zobrazte	nena pona pi ilo tawa la o lukin
ui	menu.true	On		Вкл.			Ano	lon
ui	menu.false	Off		Выкл.			Ne	ala
ui	menu.set	Set value		Задать значение			Nastavit hodnotu	o pana e nanpa
ui	setting.increased_view_range	Increased view range		Увеличенная дальность обзора			Zvýšená vzdálenost zobrazování	suli ma pi ken lukin
ui	description.increased_view_range.0	Bypasses Entity Distance setting.		Обходит настройку расстояния между сущностями.			Obchází nastavení vzdálenosti entit.	ni li kute ala e ante nasin pi ma lukin soweli.
ui	description.increased_view_range.1	Disable if players are experiencing lag		Отключите, если игроки испытывают лаги			Vypněte pokud se hráči potýkají se zpožděním	musi li pakala la o ala e ni
ui	setting.allow_crafting	Allow %s crafting		Разрешить создание %s			Dovolit vytváření pro %s	%s la o ken e pali
ui	description.allow_crafting	Drop %s on a %s to craft %s!		Бросьте %s на %s чтобы получить %s!			Hozením %s na %s vytvoříte %s!	sina weka e %s lon %s la sina pali e %s!
ui	setting.fixed_camera	Fix cameras in place		Закрепить камеры на месте			Upevnění kamer v místě	tawa ala pi ilo lukin awen
ui	description.fixed_camera	Prevents cameras from spinning		Предотвращает вращение камеры			Zabrání kamerám, aby se točili	ilo lukin awen li ken ala tawa
ui	setting.disabled_camera	Disable cameras		Отключить камеры			Vypnout kamery	weka pi ilo lukin awen
ui	description.disabled_camera.0	Prevents players from using cameras.		Запрещает игрокам использовать камеры.			Zabrání hráčům používat kamery.	jan li ken ala kepeken ilo lukin awen.
ui	description.disabled_camera.1	Can be used to simulate power outages.		Может использоваться для имитации отключения электричества.			Může být použito pro simulování výpadku proudu.	sina ken kepeken ni tawa pilin pi pakala wawa.
ui	flashlight.no_battery	%s has ran out of battery!		У %s закончилась батарея!			%s vyčerpala baterii!	%s li jo ala e wawa!
ui	motion_sensor.notification	%s has detected movement nearby!		%s обнаружил движение поблизости!			%s detekovala pohyb poblíž!	%s li sona e tawa lon poka!
ui	setting.bear_trap	%s cooldown		Время действия %s			Čas obnovení pro %s	tenpo awen pi %s
ui	description.bear_trap	The amount of ticks %s will trap players for		Количество тиков %s, на которые игроки будут пойманы			Počet tiků, na které %s uvězní hráče	tenpo seme la %s li awen e jan
